Facility ID,Facility Name,Address,City,State,ZIP Code,County Name,Phone Number,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for meaningful use of EHRs,Hospital overall rating,Mortality national comparison,Safety of care national comparison,Readmission national comparison,Patient experience national comparison,Timeliness of care national comparison
010001,SOUTHEAST HEALTH MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,3347938701,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Yes,3,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
010005,MARSHALL MEDICAL CENTER SOUTH,2505 US HIGHWAY 431 N,BOAZ,AL,35957,MARSHALL,2565938310,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Yes,4,Same as the national average,Same as the national average,Better than the national average,Better than the national average,Same as the national average
010006,ELIZA COFFEE MEMORIAL HOSPITAL,205 MARENGO AVE,FLORENCE,AL,35631,LAUDERDALE,2567688400,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Yes,3,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
010007,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,OPP,AL,36462,COVINGTON,3344931186,Acute Care Hospitals,Voluntary non-profit - Private,Yes,No,2,Below the national average,Same as the national average,Below the national average,Below the national average,Below the national average
010008,CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE,LUVERNE,AL,36049,CRENSHAW,3343351000,Critical Access Hospitals,Voluntary non-profit - Private,Yes,No,3,Not Available,Same as the national average,Same as the national average,Same as the national average,Same as the national average
060001,MAYO CLINIC HOSPITAL - ROCHESTER,1216 2ND ST SW,ROCHESTER,MN,55902,OLMSTED,5072842511,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Yes,5,Above the national average,Above the national average,Above the national average,Above the national average,Above the national average
140010,NORTHWESTERN MEMORIAL HOSPITAL,251 E HURON ST,CHICAGO,IL,60611,COOK,3122261100,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Yes,5,Above the national average,Above the national average,Above the national average,Above the national average,Above the national average
330101,NEW YORK-PRESBYTERIAN HOSPITAL,525 E 68TH ST,NEW YORK,NY,10065,NEW YORK,2127465454,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Yes,4,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
050625,CEDARS-SINAI MEDICAL CENTER,8700 BEVERLY BLVD,LOS ANGELES,CA,90048,LOS ANGELES,3104238100,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Yes,4,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
450639,METHODIST HOSPITAL,8109 FREDERICKSBURG RD,SAN ANTONIO,TX,78229,BEXAR,2106757591,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Yes,3,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
